epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.885,0.66996,1.09333,0.94152,0.99794,0.99899,0.995,0.84341,0.59198,0.48908,0.88591,0.00066532,0.00066532,0.00066532
2,322.872,0.65353,0.47223,0.9512,0.99696,0.99535,0.99495,0.85573,0.5636,0.46601,0.96361,0.00130561,0.00130561,0.00130561
3,479.219,0.64912,0.40913,0.96105,0.99896,1,0.995,0.86715,0.55352,0.31498,0.95547,0.00191951,0.00191951,0.00191951
4,638.915,0.63573,0.37363,0.95309,1,0.99999,0.995,0.87034,0.55195,0.2948,0.96391,0.0018812,0.0018812,0.0018812
5,800.049,0.61309,0.34559,0.9526,0.99972,1,0.995,0.87636,0.52753,0.26954,0.94868,0.0018416,0.0018416,0.0018416
6,958.407,0.60727,0.33674,0.95017,0.99986,0.99798,0.995,0.88498,0.50993,0.25897,0.9488,0.001802,0.001802,0.001802
7,1114.76,0.5954,0.32904,0.9432,0.99994,1,0.995,0.88212,0.51086,0.25691,0.94388,0.0017624,0.0017624,0.0017624
8,1272.94,0.5934,0.32151,0.94757,0.99993,1,0.995,0.88986,0.52748,0.25987,0.95171,0.0017228,0.0017228,0.0017228
9,1429.9,0.59085,0.31271,0.9462,0.99991,0.99899,0.995,0.88989,0.50876,0.2483,0.9455,0.0016832,0.0016832,0.0016832
10,1588.63,0.57197,0.30143,0.93742,0.99899,0.99993,0.995,0.90421,0.51359,0.23781,0.94535,0.0016436,0.0016436,0.0016436
11,1748.98,0.57934,0.30376,0.94195,1,0.99385,0.995,0.87871,0.53576,0.25675,0.9526,0.001604,0.001604,0.001604
12,1907.23,0.57087,0.30153,0.94026,0.99997,1,0.995,0.90872,0.5058,0.23411,0.94867,0.0015644,0.0015644,0.0015644
13,2068.02,0.56775,0.29378,0.93867,0.99992,1,0.995,0.89518,0.49232,0.23234,0.9394,0.0015248,0.0015248,0.0015248
14,2227.73,0.55581,0.28551,0.93734,0.99967,0.99899,0.995,0.9009,0.49907,0.22593,0.94608,0.0014852,0.0014852,0.0014852
15,2384.15,0.55137,0.28255,0.9362,0.99993,0.99899,0.995,0.90527,0.49959,0.22683,0.9412,0.0014456,0.0014456,0.0014456
16,2540.74,0.55194,0.27672,0.93382,1,0.99995,0.995,0.91023,0.4911,0.21591,0.93755,0.001406,0.001406,0.001406
17,2698.29,0.55383,0.27857,0.93476,0.99891,1,0.9948,0.90718,0.48833,0.22307,0.9346,0.0013664,0.0013664,0.0013664
18,2853.3,0.54475,0.27207,0.93067,1,0.99995,0.995,0.90995,0.48752,0.21549,0.93898,0.0013268,0.0013268,0.0013268
19,3005.18,0.54576,0.27454,0.93671,1,0.99993,0.995,0.91064,0.49052,0.21167,0.93876,0.0012872,0.0012872,0.0012872
20,3159.57,0.54271,0.2685,0.93519,0.99994,1,0.995,0.91195,0.48695,0.20884,0.93693,0.0012476,0.0012476,0.0012476
21,3313.99,0.54307,0.26906,0.93505,0.99994,0.99899,0.995,0.913,0.4888,0.20744,0.93792,0.001208,0.001208,0.001208
22,3468.6,0.53917,0.26267,0.931,0.99994,1,0.995,0.91656,0.48172,0.20205,0.93615,0.0011684,0.0011684,0.0011684
23,3623.56,0.53945,0.26354,0.93338,0.99899,0.99992,0.995,0.91595,0.47885,0.19746,0.93596,0.0011288,0.0011288,0.0011288
24,3776,0.53576,0.2618,0.93086,0.99993,1,0.995,0.917,0.48007,0.19933,0.93535,0.0010892,0.0010892,0.0010892
25,3931.59,0.52975,0.25772,0.92963,0.99996,0.99899,0.995,0.91233,0.49959,0.20678,0.94387,0.0010496,0.0010496,0.0010496
26,4086.99,0.52812,0.25349,0.92789,1,0.99993,0.995,0.91752,0.48345,0.19933,0.93669,0.00101,0.00101,0.00101
27,4237.99,0.52465,0.25422,0.92864,0.99993,1,0.995,0.91758,0.47604,0.19353,0.93348,0.0009704,0.0009704,0.0009704
28,4391.77,0.52314,0.25268,0.92546,0.99995,1,0.995,0.91501,0.47521,0.19263,0.93172,0.0009308,0.0009308,0.0009308
29,4547.47,0.5229,0.24925,0.92861,1,0.99994,0.995,0.91601,0.47673,0.19125,0.93445,0.0008912,0.0008912,0.0008912
30,4701.76,0.52305,0.24827,0.92494,0.99992,0.99899,0.995,0.91927,0.47513,0.19568,0.93066,0.0008516,0.0008516,0.0008516
31,4854.77,0.52301,0.2487,0.93007,0.99996,0.99899,0.995,0.92051,0.4716,0.18982,0.92968,0.000812,0.000812,0.000812
32,5008.62,0.5141,0.23994,0.92093,1,0.99989,0.995,0.9221,0.47756,0.18862,0.93188,0.0007724,0.0007724,0.0007724
33,5162.03,0.51668,0.24113,0.9264,0.99899,0.99998,0.995,0.92163,0.47398,0.18606,0.93084,0.0007328,0.0007328,0.0007328
34,5315.22,0.51408,0.24151,0.92081,0.99988,0.99899,0.995,0.91947,0.4757,0.19,0.93172,0.0006932,0.0006932,0.0006932
35,5466.95,0.51173,0.23838,0.92514,1,0.99999,0.995,0.92116,0.47405,0.18493,0.93202,0.0006536,0.0006536,0.0006536
36,5616.78,0.50944,0.23611,0.92302,1,0.99995,0.995,0.92289,0.46923,0.18303,0.9289,0.000614,0.000614,0.000614
37,5769.84,0.50794,0.23457,0.92258,0.99994,1,0.995,0.92329,0.46597,0.18089,0.92646,0.0005744,0.0005744,0.0005744
38,5922.85,0.51106,0.23437,0.92375,0.99994,1,0.995,0.92437,0.4675,0.18109,0.92687,0.0005348,0.0005348,0.0005348
39,6077.48,0.50793,0.23387,0.92489,0.99994,1,0.995,0.92502,0.46498,0.17838,0.92741,0.0004952,0.0004952,0.0004952
40,6231.7,0.50333,0.23087,0.92021,0.99994,1,0.995,0.92434,0.4666,0.17941,0.92659,0.0004556,0.0004556,0.0004556
41,6381.62,0.4721,0.20126,0.91808,0.99996,1,0.995,0.92327,0.46791,0.17689,0.92775,0.000416,0.000416,0.000416
42,6531.14,0.47033,0.19752,0.92086,1,0.99997,0.995,0.92678,0.46297,0.1786,0.92499,0.0003764,0.0003764,0.0003764
43,6677.06,0.46852,0.19757,0.92339,0.99997,1,0.995,0.92442,0.46641,0.18277,0.92839,0.0003368,0.0003368,0.0003368
44,6822.51,0.46587,0.19644,0.91992,0.99997,1,0.995,0.92405,0.46618,0.17839,0.92653,0.0002972,0.0002972,0.0002972
45,6969.72,0.46395,0.19063,0.91831,0.99992,1,0.995,0.92462,0.46524,0.17576,0.92585,0.0002576,0.0002576,0.0002576
46,7116.14,0.46243,0.1923,0.91735,0.9999,1,0.995,0.92766,0.46438,0.17688,0.92507,0.000218,0.000218,0.000218
47,7264.4,0.46058,0.18874,0.91639,0.99993,1,0.995,0.92853,0.46201,0.17388,0.92374,0.0001784,0.0001784,0.0001784
48,7412.61,0.45772,0.18448,0.91438,0.99994,1,0.995,0.92731,0.46211,0.17392,0.92476,0.0001388,0.0001388,0.0001388
49,7563.28,0.45681,0.18273,0.91166,0.99994,1,0.995,0.92865,0.46149,0.17173,0.92416,9.92e-05,9.92e-05,9.92e-05
50,7711.56,0.45486,0.17967,0.90949,0.99994,1,0.995,0.92831,0.4617,0.17011,0.92369,5.96e-05,5.96e-05,5.96e-05
